sample,column,depth (m),Y89(LR),Zr90(LR),Cd111(LR),In115(LR),La139(LR),Pb208(LR),Sc45(MR),Ti47(MR),V51(MR),Mn55(MR),Fe56(MR),Co59(MR),Ni60(MR),Cu63(MR),Zn66(MR),Ga69(MR)
St  7 20,4,68.225,219.5639903,189.0362836,0.058325436,58.3254364,27.35234535,155.2847237,36.93713563,32.87386036,26.27146861,2.779167708,0.892637886,109.703842,3.957271775,1.089433898,1.983423782,75.32054103
St  7 21,5,54.863,206.3553162,179.6182932,0.052627987,52.62798691,25.06006611,149.0656051,34.19444973,49.15465896,27.23244818,3.768395086,1.050387598,122.565326,3.672447216,1.112596332,1.646810189,69.64044874
St  7 22,6,39.892,201.6052746,154.9464075,0.044529428,44.52942823,25.10396858,115.5983245,25.6065055,34.35718697,27.69469977,3.987324781,0.913602578,104.9790851,3.48751122,1.001048743,1.031012204,59.11285163
St  7 23,7,25.38,203.363248,167.1006725,0.045198134,45.19813439,26.26315099,118.1181647,30.1190112,53.45109129,28.20314768,4.147170767,1.04551704,105.5545879,3.476006862,1.045238838,1.370026627,63.88531147
St  7 24,8,9.097,203.5905392,163.6107831,0.045738234,45.73823367,26.00004713,115.5024746,28.05450911,48.86774247,28.6963865,3.769136758,1.01527254,102.7377673,3.362609258,1.021375519,1.121125546,59.70324825
St  8 1,1,2709.656,193.3415011,291.3796419,0.070073959,70.07395865,21.47152869,76.50687663,60.54370485,45.297186,28.8320831,0.143700801,0.37624191,21.57060154,4.713669457,1.097853763,4.963104845,83.74496452
St  8 2,2,2659.733,191.300901,299.9646028,0.071626423,71.62642269,22.00778834,76.26056628,56.45808931,43.72682683,28.49025477,0.15276721,0.433852308,22.77135067,4.75504739,1.141226335,4.243258434,83.71604547
St  8 3,3,2500.137,195.1152618,284.5623702,0.07131907,71.31906964,22.91355828,77.15492763,58.3565774,33.40188572,26.49379803,0.147522025,0.433056575,21.27853842,4.827425225,1.128560279,4.336039477,88.48991422
St  8 4,4,2250.127,194.5366645,300.7342268,0.068509989,68.50998921,21.69943773,76.76686561,58.28605739,29.55060223,29.14932292,0.158876544,0.386078407,20.09449409,4.763333378,1.123553886,4.267805761,82.95975753
St  8 5,5,2001.363,194.1687536,299.9345342,0.072845372,72.84537218,21.56846262,79.05134896,57.13748042,37.40969771,27.54384834,0.093791334,0.328872169,21.33887105,4.819839105,1.100990812,4.344270052,86.78629486
St  8 6,6,1749.995,199.8540187,295.3381345,0.075995072,75.995072,22.86754184,81.31605739,51.67809731,38.33314545,28.94085757,0.082153144,0.343685826,22.77554515,4.859040461,1.077915729,4.531737593,86.67462864
St  8 7,7,1503.53,196.2126795,295.9139241,0.071679513,71.67951266,21.92717986,82.77758476,56.46686088,35.12955879,28.52536404,0.104774929,0.371527361,22.29857201,4.793435671,1.086177485,4.510294275,86.48936404
St  8 8,8,1500.456,200.6632602,305.8243763,0.074191401,74.19140074,23.48470087,82.30943193,59.66158628,45.6703564,29.44250356,0.105688861,0.405575075,22.21334759,4.813366208,1.04107221,4.280656056,82.00252236
St  8 9,1,1250.217,198.9642914,303.5309492,0.071747154,71.74715425,23.79121146,81.87912686,54.15830319,36.53818936,29.64425995,0.097016412,0.355592808,21.50042093,4.681423608,1.024900161,4.151528995,79.98254516
St  8 10,2,1000.04,191.3570578,302.819371,0.071673213,71.67321337,21.75920244,76.93775349,55.05972266,31.67353657,28.9177387,0.225838875,0.32131032,22.67363563,4.722014834,1.012973478,4.237354433,84.08255124
St  8 11,3,749.722,198.3787914,296.5271131,0.07426878,74.26878044,22.43969918,77.52374701,55.80458836,38.00171724,28.13672897,0.181945845,0.470204422,24.31237652,4.673386658,0.962147975,4.673612205,77.14807376
St  8 12,4,604.174,203.9549937,298.086805,0.07403833,74.03832971,23.76341136,77.6166901,50.46436909,39.01139986,29.09208993,0.188853533,0.512707964,29.31793095,4.818371667,0.901630392,4.193386449,80.42366259
St  8 13,5,450.473,209.931122,274.423563,0.08037329,80.37328997,25.76196654,83.20627558,44.95276764,48.88382862,26.96678177,0.390388115,0.765575925,43.18152207,4.756289242,0.931420476,5.245186414,88.65876909
St  8 14,6,300.719,236.7059962,258.6937915,0.073528419,73.52841948,32.71606769,82.24449451,40.55097442,39.92153984,26.94285689,0.568404742,0.453368004,74.44544465,4.680273447,1.070502275,3.273473241,89.97213318
St  8 15,7,200.426,223.7071824,253.7884344,0.076621883,76.62188302,29.79522401,86.784601,44.05987625,46.42076992,28.77732307,0.824230388,0.643824029,77.86530875,4.351071418,1.064857022,3.191778776,82.71820339
St  8 16,8,145.09,217.6514026,225.1201186,0.069902801,69.90280145,27.50669656,111.7361733,39.47735915,42.01558902,28.64851806,0.954850736,0.655481058,89.51689455,3.917892364,1.01969298,2.473291857,71.89835488
St  8 17,1,114.201,205.3626134,200.6321829,0.06393088,63.93088049,25.93603126,96.16406032,38.30781748,28.268732,28.71435802,0.842727932,0.59011406,84.55949074,3.696903031,1.001359489,2.173015874,65.85954891
St  8 18,2,98.238,201.309349,208.3013331,0.060825673,60.82567282,25.78365248,86.97156744,36.14632458,35.48083025,27.91257572,2.030092306,0.977853131,98.33578147,3.627081619,0.975350539,2.173853898,68.25032046
St  8 19,3,85.676,204.6117685,178.2949482,0.055805122,55.80512224,25.08193276,88.10015506,33.90868941,28.03729348,25.73900838,2.662319033,0.988948574,95.92328869,3.528341686,0.902247027,1.719212631,66.33030415
St  8 20,4,70.678,197.5127762,167.1652018,0.050986152,50.98615245,25.59277184,76.98161394,35.21576701,37.03093765,28.47655056,2.572198775,1.082394351,96.72329992,3.312861782,0.854605597,1.742884214,59.33650106
St  8 21,5,52.808,194.7543163,156.1669186,0.047410381,47.41038149,24.55806904,71.38812462,28.45529303,59.91000648,26.42570195,2.117081079,1.299714897,91.51366487,3.113917845,0.822525032,2.919070179,58.83890167
St  8 22,6,42.378,196.7345354,136.2640798,0.051128195,51.12819489,25.51941029,64.657722,21.8287561,51.01524131,29.30834082,2.875588374,1.161421544,100.9103641,3.119653654,0.862170106,1.70386984,55.8599225
St  8 23,7,27.345,195.5628471,114.9988896,0.044108599,44.10859862,24.60047892,69.88273566,25.321492,56.23987215,28.76420687,4.509631855,1.117291133,111.4296344,2.968227593,0.848386957,1.244954173,52.3850159
St  8 24,8,10.111,198.5716259,105.4187581,0.04200082,42.0008196,25.86489605,83.77276068,24.59521894,48.19992602,28.15504839,5.188202639,1.134032139,115.9699426,3.058097632,0.941064693,1.453297002,54.78871811
