days,chlorophyll
0,0.488223294
13.99333333,0.390587662
27.955,0.488247488
41.92111111,0.292946475
63.11064484,
77.04166667,4.788822423
90.44444444,2.441379934
104.9822222,7.911892849
125.5438889,0.292959277
141.1911111,1.269452213
153.4994444,1.17180647
167.5040476,
168.6766667,
182.5155556,1.562850788
196.0927991,
210.0394444,0.683824871
223.4358433,
238.0177778,1.465017746
252.0322222,0.585935047
265.4127778,0.488325141
280.0107937,1.367278898
294.3633333,1.953514284
315.1105556,0.586067439
329.095,0.097678536
337.3516667,0.293041838
357.0863889,2.539702139
363.645,0.976828052
377.6122222,0.195337089
391.6360913,
405.5516667,0.976564054
434.5322222,1.269632013
447.4922222,7.618499157
462.1016667,8.204305397
475.4516667,10.55185794
489.435,9.671884415
504.0261111,3.419236559
517.9822222,1.172317841
533.0183333,2.247196216
545.9433333,0.879289512
559.9544444,0.976749183
573.8827778,0.879138604
587.8977778,0.097684006
603.3122222,1.465271167
615.2294444,1.172206166
629.5738889,1.367558057
644.6461111,0.586106339
657.5516667,0.488441017
671.5461111,0.976849543
699.5794444,
727.5022222,0.390699702
749.2927778,0.195327944
762.6155556,0.292991309
776.6377778,0.87889899
790.5238889,1.757897849
804.5533333,7.03292128
819.5266667,3.906687078
833.5040476,3.613987773
846.4483333,11.13537208
860.4833333,4.689143879
874.4433333,2.442139597
888.4511111,0.390735215
902.4072222,0.68378303
916.4183333,0.781424931
930.9855556,0.781468578
944.99,0.586056847
959.3583333,0.976754827
995.5583333,0.87906847
1007.487778,1.562842916
1029.912778,0.879033372
1043.668333,0.585978277
1065.448393,0.683576457
1084.562778,0.683543698
1100.592222,0.878898209
1112.531111,0.781306973
1126.508889,0.683567141
1140.493889,1.757833135
1155.093333,1.855721586
1177.223889,7.61820345
1190.632222,6.934477945
1204.557222,3.711172385
1217.543333,1.855491081
1231.504444,2.637854661
1246.115556,0.684071825
1258.937778,0.976757142
1273.479444,1.464926376
1287.439444,0.976714527
1301.441111,7.228480999
1315.445516,0.683796149
1330.011111,0.976777401
1344.38619,1.367700196
1364.531667,3.418820432
1379.554444,2.637479895
1392.501667,3.125715006
1413.923889,2.930313754
1450.073889,0.976752294
1465.095556,0.58605676
1483.599744,0.879047828
1497.539514,
1504.981667,0.683866309
1518.987778,5.176756866
1532.883333,6.251273957
1546.903333,6.837526901
1561.243333,6.153909144
1574.637222,2.246717168
1589.565556,11.1391359
1617.565556,3.419092946
1637.956111,0.879166347
1651.921111,0.977011941
1666.321667,0.879324947
1687.072778,0.68389549
1693.625556,1.367816717
1707.608333,1.954297491
1730.471667,1.953866976
1743.037778,1.074629066
1756.997778,1.660798863
1792.556667,0.782031683
1820.112778,0.586152537
1840.630556,2.637424995
1848.08,2.539990189
1863.074444,1.563386105
1876.046111,4.006355565
1890.022778,2.442095094
1903.985,8.303715044
1917.938889,7.033024955
1932.969444,3.223709042
1945.876111,3.028957582
1960.918889,0.684003311
1973.61,1.367930008
1988.487431,2.149237752
2001.562778,1.172241942
2015.567222,0.976844261
2029.525,1.172219626
2043.526667,3.32174266
2071.491667,2.63753675
2086.092222,1.27012879
2100.092222,1.270087861
2114.058333,0.78164331
2135.626667,0.586124618
2147.694325,0.879122975
2197.923333,0.488386602
2211.947222,1.269864145
2225.662222,3.80925889
